,Sr.No.,Cut Off Merit (Score),Choice Code,Institute,Course Name
143,144,108803 (59),512537210,"5125 - Pravara Rural Education Society's Sir Visvesvaraya Institute of Technology,
Chincholi Dist. Nashik","Electronics and Telecommunication
Engg"
144,145,108817 (59),415124610,"4151 - Vidarbha Bahu-Uddeshiya Shikshan Sanstha's Tulshiramji Gaikwad Patil College
of Engineering & Technology, Nagpur",Information Technology
145,146,108820 (59),419037010,"4190 - M.D. Yergude Memorial Shikshan Prasarak Mandal's Shri Sai College of
Engineering & Technology, Badravati","Electronics and Communication
Engineering"
146,147,108823 (59),212929810,"2129 - M.S. Bidve Engineering College, Latur",Electrical Engg [Electrical and Power]
147,148,108826 (59),518419110,"5184 - Amruta Vaishnavi Education & Welfare Trust's Shatabdi Institute of Engineering
& Research, Agaskhind Tal. Sinnar",Civil Engineering
148,149,108827 (59),683461210,"6834 - Dr.D.Y.Patil College Of Engineering & Innovation,Talegaon",Mechanical Engineering
149,150,108828 (59),512529310,"5125 - Pravara Rural Education Society's Sir Visvesvaraya Institute of Technology,
Chincholi Dist. Nashik",Electrical Engineering
150,151,108832 (59),516237610,"5162 - Amrutvahini Sheti & Shikshan Vikas Sanstha's Amrutvahini College of
Engineering, Sangamner",Electronics Engineering
151,152,108837 (59),679724210,"6797 - Dnyanshree Institute Engineering and Technology, Satara",Computer Science and Engineering
152,153,108838 (59),257319110,"2573 - Gramin College of Engineering, Vishnupuri, Nanded",Civil Engineering
153,154,108841 (59),683419110,"6834 - Dr.D.Y.Patil College Of Engineering & Innovation,Talegaon",Civil Engineering
154,155,108864 (59),414361210,"4143 - Sanmarg Shikshan Sanstha, Mandukarrao Pandav College of Engineering,
Bhandara,Nagpur",Mechanical Engineering
155,156,108868 (59),415137610,"4151 - Vidarbha Bahu-Uddeshiya Shikshan Sanstha's Tulshiramji Gaikwad Patil College
of Engineering & Technology, Nagpur",Electronics Engineering
156,157,108872 (59),211624210,"2116 - Matoshri Pratishan's Group of Institutions (Integrated Campus), Kupsarwadi ,
Nanded",Computer Science and Engineering
157,158,108873 (59),632519110,"6325 - Alard Charitable Trust's Alard College of Engineering and Management, Pune",Civil Engineering
158,159,108880 (59),631161210,"6311 - Jayawant Shikshan Prasarak Mandal, Bhivarabai Sawant Institute of Technology
& Research, Wagholi",Mechanical Engineering
159,160,108887 (59),625037610,"6250 - D.Y. Patil College of Engineering and Technology, Kolhapur",Electronics Engineering
160,161,108896 (59),663519110,"6635 - Samarth Group of Institutions, Bangarwadi, Post Belhe Tal. Junnar Dist. Pune",Civil Engineering
161,162,108906 (58),112061210,"1120 - Jawaharlal Darda Institute of Engineering and Technology, Yavatmal",Mechanical Engineering
162,163,108914 (58),613819110,"6138 - Genba Sopanrao Moze Trust Parvatibai Genba Moze College of
Engineering,Wagholi, Pune",Civil Engineering
163,164,108921 (58),676661210,"6766 - Phaltan Education Society's College of Engineering Thakurki Tal- Phaltan Dist-
Satara",Mechanical Engineering
164,165,108924 (58),253361210,"2533 - CSMSS Chh. Shahu College of Engineering, Aurangabad",Mechanical Engineering
165,166,108943 (58),112619110,"1126 - Shri. Dadasaheb Gawai Charitable Trust's Dr. Smt. Kamaltai Gawai Institute of
Engineering & Technology, Darapur, Amravati",Civil Engineering
166,167,108949 (58),662029310,"6620 - D. Y. Patil Institute of Engineering and Technology, Ambi",Electrical Engineering
167,168,108958 (58),413361220,"4133 - Sanmarg Shikshan Sanstha's Smt. Radhikatai Pandav College of Engineering,
Nagpur",Mechanical Engineering
168,169,108965 (58),320624510,"3206 - S.S.P.M.'s College of Engineering, Kankavli",Computer Engineering
169,170,108985 (58),418619110,"4186 - Datta Meghe Institute of Medical Science's Datta Meghe Institute of
Engineering & Technology & Research, Savangi (Meghe)",Civil Engineering
170,171,108990 (58),510846410,"5108 - Nashik District Maratha Vidya Prasarak Samaj's Karmaveer Adv.Babaurao
Ganpatrao Thakare College of Engineering, Nashik","Instrumentation and Control
Engineering"
171,172,108993 (58),213829310,"2138 - Matsyodari Shikshan Sansatha's College of Engineering and Technology, Jalna",Electrical Engineering
172,173,108998 (58),322461210,"3224 - Leela Education Society, G.V. Acharya Institute of Engineering and Technology,
Shelu, Karjat",Mechanical Engineering
173,174,109009 (58),627537210,"6275 - Shivnagar Vidya Prasarak Mandal's College of Engineering, Malegaon-Baramati","Electronics and Telecommunication
Engg"
174,175,109019 (57),626937210,"6269 - Shetkari Shikshan Mandal's Pad. Vasantraodada Patil Institute of Technology,
Budhgaon, Sangli","Electronics and Telecommunication
Engg"
175,176,109027 (57),417524210,"4175 - JMSS Shri Shankarprasad Agnihotri College of Engineering, Wardha",Computer Science and Engineering
176,177,109029 (57),664437210,"6644 - Shri. Ambabai Talim Sanstha's Sanjay Bhokare Group of Institutes, Miraj","Electronics and Telecommunication
Engg"
177,178,109033 (57),417724610,"4177 - Priyadarshini Bhagwati College of Engineering, Harpur Nagar, Umred
Road,Nagpur",Information Technology
178,179,109054 (57),118024210,"1180 - Sanmati Engineering College, Sawargaon Barde, Washim",Computer Science and Engineering
179,180,109057 (57),112837210,"1128 - Prof Ram Meghe College of Engineering and Management, Badnera","Electronics and Telecommunication
Engg"
