81,82,115732 (22),663519110.0,"6635 - Samarth Group of Institutions, Bangarwadi, Post Belhe Tal. Junnar Dist. Pune",,Civil Engineering,JEE,MH to AI,LOBCH
82,83,115749 (22),461361210.0,"4613 - Suryodaya College of Engineering & Technology, Nagpur",,Mechanical Engineering,JEE,MH to AI,GOBCH
83,84,115755 (21),225024210.0,"2250 - Aurangabad College of Engineering, Naygaon Savangi, Aurangabad",,Computer Science and Engineering,JEE,MH to AI,LSCH
84,85,115767 (21),414419110.0,"4144 - Shri. Sai Shikshan Sanstha, Nagpur Institute of Technology, Nagpur",,Civil Engineering,JEE,MH to AI,GSCH
85,86,115775 (21),213629310.0,"2136 - Aditya Engineering College , Beed",,Electrical Engineering,JEE,MH to AI,GNT1H
86,87,115778 (21),417229310.0,"4172 - Anjuman College of Engineering & Technology, Nagpur",,Electrical Engineering,JEE,MI to AI,MI
87,88,115792 (20),622361210.0,"6223 - Pradnya Niketan Education Society's Nagesh Karajagi Orchid College of
Engineering & Technology, Solapur",,Mechanical Engineering,JEE,MH to AI,GOBCH
88,89,115804 (20),621761210.0,"6217 - Shri. Balasaheb Mane Prasarak Mandals, Ashokrao Mane Group of Institutions,
Kolhapur",,Mechanical Engineering,JEE,MH to AI,GNT2H
89,90,115816 (20),616037210.0,"6160 - JSPM's Imperial College of Engineering and Research, Wagholi, Pune",,"Electronics and Telecommunication
Engg",JEE,MH to AI,LNT1H
90,91,115819 (20),112935610.0,"1129 - Dhamangaon Education Society's College of Engineering and Technology,
Dhamangaon",,Electrical Engg[Electronics and Power],JEE,MH to AI,LSTH
91,92,115847 (20),417261210.0,"4172 - Anjuman College of Engineering & Technology, Nagpur",,Mechanical Engineering,JEE,MH to AI,LOPENO
92,93,115895 (19),213624510.0,"2136 - Aditya Engineering College , Beed",,Computer Engineering,JEE,MH to AI,GNT3H
93,94,115901 (18),213624510.0,"2136 - Aditya Engineering College , Beed",,Computer Engineering,JEE,MH to AI,LOBCH
94,95,115908 (18),541119110.0,"5411 - Maulana Mukhtar Ahmad Nadvi Technical Campus, Malegaon.",,Civil Engineering,JEE,MH to AI,GOPENO
95,96,115912 (18),225219110.0,"2252 - Marathwada Shikshan Prasarak Mandal's Shri Shivaji Institute of Engineering
and Management Studies, Parbhani",,Civil Engineering,JEE,MH to AI,GOBCH
96,97,115918 (18),251624210.0,"2516 - International Centre of Excellence in Engineering & Management, Aurangabad.",,Computer Science and Engineering,JEE,MH to AI,GOBCH
97,98,115965 (17),613819110.0,"6138 - Genba Sopanrao Moze Trust Parvatibai Genba Moze College of
Engineering,Wagholi, Pune",,Civil Engineering,JEE,MH to AI,GNT1H
98,99,115984 (16),321761210.0,"3217 - Vighnaharata Trust's Shivajirao S. Jondhale College of Engineering &
Technology, Shahapur, Asangaon, Dist Thane",,Mechanical Engineering,JEE,MH to AI,GSCH
99,100,116001 (16),322261210.0,"3222 - Haji Jamaluddin Thim Trust's Theem College of Engineering, At. Villege
Betegaon, Boisar",,Mechanical Engineering,JEE,MI to AI,MI
100,101,116007 (16),411819110.0,"4118 - Yashwant Rural Education Society's Bapurao Deshmukh Engineering
College,Sevagram",,Civil Engineering,JEE,AI to AI,AI
101,102,116009 (16),618324510.0,"6183 - Al-Ameen Educational and Medical Foundation, College of Engineering,
Koregaon, Bhima",,Computer Engineering,JEE,MH to AI,GOPENO
102,103,116014 (15),544924610.0,"5449 - Shri. Vile Parle Kelawani Mandal's Institute of Technology, Dhule",,Information Technology,JEE,MH to AI,LOBCH
103,104,116015 (15),533137210.0,"5331 - Sandip Foundation's, Sandip Institute of Engineering & Management, Nashik",,"Electronics and Telecommunication
Engg",JEE,MH to AI,LSTO
104,105,116018 (15),211619110.0,"2116 - Matoshri Pratishan's Group of Institutions (Integrated Campus), Kupsarwadi ,
Nanded",,Civil Engineering,JEE,AI to AI,AI
105,106,116037 (15),664429310.0,"6644 - Shri. Ambabai Talim Sanstha's Sanjay Bhokare Group of Institutes, Miraj",,Electrical Engineering,JEE,MH to AI,GNT1H
106,107,116062 (15),632661210.0,"6326 - Shri Pandurang Pratishtan, Karmayogi Engineering College, Shelve, Pandharpur",,Mechanical Engineering,JEE,MH to AI,GOBCH
107,108,116085 (14),418819110.0,"4188 - Krushi Jivan Vikas Pratishthan, Ballarpur Institute of Technology, Mouza Bamni",,Civil Engineering,JEE,MH to AI,GOBCH
108,109,116089 (14),430224510.0,"4302 - Gondia Education Society's Manoharbhai Patel Institute Of Engineering &
Technology, Shahapur, Bhandara",,Computer Engineering,JEE,MH to AI,GOBCH
109,110,116097 (14),461319110.0,"4613 - Suryodaya College of Engineering & Technology, Nagpur",,Civil Engineering,JEE,MH to AI,GOBCH
110,111,116117 (14),662224510.0,"6622 - I.S.B.& M. School of Technology, Nande Village",,Computer Engineering,JEE,MI to AI,MI
111,112,116146 (12),541861210.0,"5418 - Guru Gobind Singh College of Engineering & Research Centre, Nashik.",,Mechanical Engineering,JEE,MH to AI,GOBCH
112,113,116160 (12),411824510.0,"4118 - Yashwant Rural Education Society's Bapurao Deshmukh Engineering
College,Sevagram",,Computer Engineering,JEE,MH to AI,GSCH
113,114,116180 (11),414561210.0,"4145 - Wainganga College of Engineering and Management, Dongargaon, Nagpur",,Mechanical Engineering,JEE,MH to AI,GOBCH
114,115,116182 (11),414761220.0,"4147 - K.D.K. College of Engineering, Nagpur",,Mechanical Engineering,JEE,MH to AI,GSCO
115,116,116220 (10),417237210.0,"4172 - Anjuman College of Engineering & Technology, Nagpur",,"Electronics and Telecommunication
Engg",JEE,MH to AI,GOPENO
116,117,116231 (10),512419110.0,"5124 - Jagadamba Education Soc. Nashik's S.N.D. College of Engineering & Reserch,
Babulgaon",,Civil Engineering,JEE,MH to AI,GOBCH
117,118,116252 (9),112935610.0,"1129 - Dhamangaon Education Society's College of Engineering and Technology,
Dhamangaon",,Electrical Engg[Electronics and Power],JEE,MH to AI,GNT1H
118,119,116266 (8),413861210.0,"4138 - Jaidev Education Society, J D College of Engineering and Management, Nagpur",,Mechanical Engineering,JEE,MI to AI,MI
119,120,116268 (8),621724210.0,"6217 - Shri. Balasaheb Mane Prasarak Mandals, Ashokrao Mane Group of Institutions,
Kolhapur",,Computer Science and Engineering,JEE,MH to AI,GVJH
120,121,116274 (8),418829310.0,"4188 - Krushi Jivan Vikas Pratishthan, Ballarpur Institute of Technology, Mouza Bamni",,Electrical Engineering,JEE,MH to AI,LSTH
121,122,116281 (8),513937210.0,"5139 - Pravara Rural College of Engineering, Loni, Pravaranagar, Ahmednagar.",,"Electronics and Telecommunication
Engg",JEE,AI to AI,AI
122,123,116282 (8),419029310.0,"4190 - M.D. Yergude Memorial Shikshan Prasarak Mandal's Shri Sai College of
Engineering & Technology, Badravati",,Electrical Engineering,JEE,MH to AI,GOBCH
123,124,116287 (8),517724510.0,"5177 - Matoshri College of Engineering and Research Centre, Eklahare, Nashik",,Computer Engineering,JEE,MH to AI,PHCH
124,125,116292 (8),516437210.0,"5164 - P.S.G.V.P. Mandal's D.N. Patel College of Engineering, Shahada, Dist. Nandurbar",,"Electronics and Telecommunication
Engg",JEE,MH to AI,GOPENH
125,126,116295 (7),413929310.0,"4139 - Samridhi Sarwajanik Charitable Trust, Jhulelal Institute of Technology, Nagpur",,Electrical Engineering,JEE,MI to AI,MI
126,127,116317 (7),417261210.0,"4172 - Anjuman College of Engineering & Technology, Nagpur",,Mechanical Engineering,JEE,MH to AI,PHCH
127,128,116331 (6),510519110.0,"5105 - G.H. Raisoni Institute of Engineering and Management, Jalgaon",,Civil Engineering,JEE,MH to AI,LOPENH
128,129,116333 (6),518429310.0,"5184 - Amruta Vaishnavi Education & Welfare Trust's Shatabdi Institute of Engineering
& Research, Agaskhind Tal. Sinnar",,Electrical Engineering,JEE,MH to AI,GOPENO
129,130,116335 (6),112361210.0,"1123 - Dr.Rajendra Gode Institute of Technology & Research, Amravati",,Mechanical Engineering,JEE,MH to AI,GNT1H
130,131,116354 (5),419619110.0,"4196 - Gurunanak Educational Society's Gurunanak Institute of Technology, Nagpur",,Civil Engineering,JEE,MH to AI,GNT1H
131,132,116360 (5),413361210.0,"4133 - Sanmarg Shikshan Sanstha's Smt. Radhikatai Pandav College of Engineering,
Nagpur",,Mechanical Engineering,JEE,MH to AI,GNT2H
132,133,116361 (5),461324510.0,"4613 - Suryodaya College of Engineering & Technology, Nagpur",,Computer Engineering,JEE,MH to AI,GNT2O
133,134,116362 (5),112619110.0,"1126 - Shri. Dadasaheb Gawai Charitable Trust's Dr. Smt. Kamaltai Gawai Institute of
Engineering & Technology, Darapur, Amravati",,Civil Engineering,JEE,MH to AI,GNT2H
134,135,116364 (5),417237210.0,"4172 - Anjuman College of Engineering & Technology, Nagpur",,"Electronics and Telecommunication
Engg",JEE,MH to AI,GOPENH
135,136,116370 (5),461319110.0,"4613 - Suryodaya College of Engineering & Technology, Nagpur",,Civil Engineering,JEE,MH to AI,LNT3H
136,137,116385 (4),414324510.0,"4143 - Sanmarg Shikshan Sanstha, Mandukarrao Pandav College of Engineering,
Bhandara,Nagpur",,Computer Engineering,JEE,MH to AI,GOBCH
137,138,116389 (4),416525110.0,"4165 - Gondia Education Society's Manoharbhai Patel Institute of Engineering and
Technology, Gondia",,Computer Technology,JEE,MH to AI,LSCH
138,139,116416 (3),679761210.0,"6797 - Dnyanshree Institute Engineering and Technology, Satara",,Mechanical Engineering,JEE,MH to AI,GNT1H
139,140,116426 (3),213619110.0,"2136 - Aditya Engineering College , Beed",,Civil Engineering,JEE,MH to AI,LOPENO
140,141,116439 (2),612261210.0,"6122 - TSSMS's Pd. Vasantdada Patil Institute of Technology, Bavdhan, Pune",,Mechanical Engineering,JEE,MH to AI,GSCH
